dataset,neuron,mean,cov,mean_std,cov_std,mean_0,mean_1,mean_2,mean_3,mean_4,cov_0,cov_1,cov_2,cov_3,cov_4,jitter_0,jitter_1,jitter_2,jitter_3,jitter_4,jitter,single_trial_correlation,cell_id
Dataset 05,39,[-0.42 -0.64],"[[ 0.07  0.01]
 [-0.03  0.06]]",[0.71 0.48],"[[0.1  0.02]
 [0.05 0.06]]",[-1. -1.],[-0.98 -0.95],[-1.   -0.95],[ 0.57 -0.57],[0.32 0.28],"[[ 0.04 -0.  ]
 [-0.04 -0.02]]","[[ 0.17 -0.  ]
 [-0.11  0.15]]","[[-0.06  0.03]
 [-0.02  0.08]]","[[0.2  0.04]
 [0.05 0.03]]","[[-0.01 -0.01]
 [-0.01  0.07]]",[0.05 0.02],[ 0.03 -0.05],[-0.05 -0.02],[0.03 0.05],[-0.05 -0.05],[0.04 0.04],0.33099744,LPE10885_2023_10_20_0_0039
Dataset 05,40,[-0.42 -0.64],"[[-0.01 -0.05]
 [ 0.01  0.02]]",[0.71 0.48],"[[0.07 0.09]
 [0.02 0.03]]",[-1. -1.],[-0.97 -0.95],[-1.   -0.95],[ 0.57 -0.57],[0.32 0.28],"[[-0.04  0.05]
 [ 0.    0.09]]","[[ 0.09 -0.09]
 [ 0.03  0.03]]","[[-0.13 -0.19]
 [-0.02 -0.01]]","[[ 0.03  0.01]
 [ 0.01 -0.  ]]","[[ 0.01 -0.01]
 [ 0.01  0.01]]",[-0.05 -0.  ],[0.05 0.05],[-0.05 -0.05],[-0.05  0.05],[-0.05  0.  ],[0.04 0.04],0.2620797,LPE10885_2023_10_20_0_0040
Dataset 05,41,[-0.43 -0.66],"[[ 0.02 -0.01]
 [-0.02  0.  ]]",[0.7  0.48],"[[0.06 0.02]
 [0.03 0.03]]",[-1. -1.],[-0.98 -0.96],[-1. -1.],[ 0.63 -0.61],[0.2  0.25],"[[-0.03  0.01]
 [-0.03  0.02]]","[[ 0.1  -0.05]
 [ 0.    0.  ]]","[[ 0.06  0.  ]
 [ 0.02 -0.01]]","[[-0.05 -0.03]
 [-0.06  0.04]]","[[ 0.01  0.01]
 [-0.03 -0.04]]",[-0.05 -0.05],[0.05 0.05],[ 0.05 -0.03],[ 0.05 -0.02],[-0.05  0.02],[0.05 0.04],0.5769401,LPE10885_2023_10_20_0_0041
Dataset 05,42,[-0.42 -0.64],"[[ 0.02 -0.03]
 [-0.02  0.01]]",[0.71 0.48],"[[0.09 0.06]
 [0.05 0.07]]",[-1. -1.],[-0.97 -0.94],[-1.   -0.94],[ 0.58 -0.57],[0.32 0.28],"[[ 0.   -0.03]
 [-0.   -0.03]]","[[-0.06  0.06]
 [ 0.08  0.07]]","[[-0.03 -0.09]
 [-0.09  0.12]]","[[ 0.19 -0.1 ]
 [-0.06 -0.07]]","[[ 0.02  0.01]
 [-0.03 -0.03]]",[0.05 0.03],[ 0.05 -0.  ],[ 0.05 -0.05],[0.05 0.05],[-0.05 -0.05],[0.04 0.04],0.42032212,LPE10885_2023_10_20_0_0042
Dataset 05,43,[-0.48 -0.66],"[[-0.    0.  ]
 [-0.02  0.01]]",[0.66 0.48],"[[0.06 0.06]
 [0.06 0.05]]",[-1. -1.],[-0.99 -0.97],[-1.   -0.98],[ 0.6  -0.59],[-0.01  0.26],"[[ 0.04 -0.04]
 [-0.12  0.  ]]","[[ 0.05 -0.08]
 [ 0.01  0.09]]","[[-0.11  0.11]
 [ 0.07  0.03]]","[[ 0.03  0.02]
 [-0.03 -0.05]]","[[-0.03 -0.01]
 [-0.01 -0.02]]",[-0.05  0.05],[-0.04  0.05],[-0.05 -0.05],[-0.   -0.05],[0.05 0.05],[0.04 0.05],0.21937065,LPE10885_2023_10_20_0_0043
Dataset 05,44,[-0.41 -0.64],"[[-0.02 -0.02]
 [-0.01  0.02]]",[0.71 0.48],"[[0.06 0.12]
 [0.06 0.06]]",[-1. -1.],[-0.97 -0.94],[-1.   -0.95],[ 0.58 -0.58],[0.32 0.28],"[[ 0.01 -0.01]
 [ 0.01 -0.02]]","[[-0.13  0.07]
 [ 0.08  0.1 ]]","[[-0.01  0.07]
 [-0.04 -0.03]]","[[ 0.01 -0.24]
 [-0.1   0.07]]","[[ 0.02  0.02]
 [-0.01 -0.03]]",[-0.05  0.02],[-0.05 -0.01],[ 0.05 -0.05],[-0.04  0.05],[-0.05 -0.05],[0.04 0.04],0.49837738,LPE10885_2023_10_20_0_0044
Dataset 05,45,[-0.42 -0.64],"[[ 0.01 -0.01]
 [ 0.    0.03]]",[0.71 0.48],"[[0.04 0.04]
 [0.05 0.03]]",[-1. -1.],[-0.97 -0.95],[-1.   -0.94],[ 0.57 -0.57],[0.32 0.28],"[[-0.02 -0.01]
 [ 0.04  0.02]]","[[ 0.04 -0.04]
 [ 0.06  0.06]]","[[-0.06  0.06]
 [-0.07 -0.02]]","[[ 0.06 -0.05]
 [-0.04  0.07]]","[[ 0.01 -0.01]
 [ 0.02  0.02]]",[0.05 0.05],[0.05 0.05],[ 0.05 -0.05],[ 0.   -0.05],[0.05 0.01],[0.02 0.05],0.39744577,LPE10885_2023_10_20_0_0045
Dataset 05,46,[-0.47 -0.64],"[[-0.04  0.01]
 [-0.01 -0.02]]",[0.66 0.5 ],"[[0.03 0.09]
 [0.06 0.04]]",[-1. -1.],[-0.99 -0.97],[-1.   -0.99],[ 0.54 -0.56],[0.09 0.31],"[[-0.02 -0.03]
 [-0.01  0.  ]]","[[-0.04  0.17]
 [-0.08 -0.09]]","[[-0.08  0.  ]
 [-0.05 -0.03]]","[[-0.05 -0.11]
 [ 0.04  0.  ]]","[[0.01 0.02]
 [0.07 0.01]]",[-0.05 -0.03],[-0.04 -0.05],[-0.05  0.05],[-0.05  0.05],[-0.05  0.05],[0.   0.04],0.6565886,LPE10885_2023_10_20_0_0046
Dataset 05,47,[-0.44 -0.65],"[[ 0.05 -0.06]
 [-0.02 -0.08]]",[0.69 0.48],"[[0.05 0.06]
 [0.04 0.06]]",[-1. -1.],[-0.98 -0.96],[-1.   -0.97],[ 0.57 -0.57],[0.2  0.26],"[[ 0.03  0.  ]
 [ 0.02 -0.03]]","[[ 0.07 -0.15]
 [ 0.01 -0.09]]","[[ 0.04 -0.  ]
 [-0.03 -0.2 ]]","[[ 0.13 -0.1 ]
 [-0.08 -0.08]]","[[-0.01 -0.03]
 [-0.01 -0.02]]",[-0.05 -0.04],[ 0.02 -0.05],[ 0.05 -0.05],[-0.05  0.05],[0.02 0.05],[0.04 0.05],0.4362845,LPE10885_2023_10_20_0_0047
Dataset 05,48,[-0.46 -0.64],"[[-0.02  0.26]
 [ 0.05 -0.03]]",[0.67 0.5 ],"[[0.18 0.55]
 [0.1  0.05]]",[-1. -1.],[-0.99 -0.97],[-1.   -0.98],[ 0.54 -0.55],[0.14 0.3 ],"[[-0.07  1.34]
 [-0.13 -0.  ]]","[[-0.03 -0.16]
 [ 0.1  -0.11]]","[[-0.27  0.05]
 [ 0.16 -0.06]]","[[0.29 0.08]
 [0.09 0.02]]","[[-0.02 -0.  ]
 [ 0.03  0.01]]",[ 0.05 -0.01],[-0.    0.04],[-0.05 -0.05],[0.05 0.05],[-0.05 -0.05],[0.05 0.04],0.29014042,LPE10885_2023_10_20_0_0048
Dataset 05,49,[-0.42 -0.64],"[[-0.08 -0.04]
 [ 0.02  0.02]]",[0.71 0.48],"[[0.08 0.09]
 [0.08 0.03]]",[-1. -1.],[-0.97 -0.95],[-1.   -0.94],[ 0.58 -0.57],[0.32 0.28],"[[-0.04  0.  ]
 [ 0.03 -0.  ]]","[[-0.01  0.09]
 [-0.04  0.07]]","[[-0.12 -0.15]
 [ 0.17  0.05]]","[[-0.22 -0.11]
 [-0.06 -0.02]]","[[-0.01 -0.01]
 [-0.01  0.02]]",[-0.01 -0.04],[0.05 0.05],[ 0.01 -0.05],[-0.03 -0.05],[-0.05  0.05],[0.04 0.05],0.2645498,LPE10885_2023_10_20_0_0049
Dataset 05,50,[-0.43 -0.66],"[[-0.05  0.04]
 [ 0.04  0.02]]",[0.71 0.48],"[[0.05 0.16]
 [0.08 0.09]]",[-1. -1.],[-0.98 -0.96],[-1. -1.],[ 0.64 -0.61],[0.21 0.25],"[[-0.02  0.03]
 [ 0.04 -0.04]]","[[-0.13  0.27]
 [ 0.18 -0.07]]","[[-0.07 -0.23]
 [ 0.06  0.18]]","[[-0.01  0.14]
 [-0.06  0.01]]","[[-0.   -0.  ]
 [-0.01  0.03]]",[0.05 0.05],[-0.05 -0.05],[ 0.   -0.05],[-0.05  0.05],[-0.   -0.03],[0.04 0.05],0.5085531,LPE10885_2023_10_20_0_0050
Dataset 05,51,[-0.4  -0.66],"[[ 0.04 -0.03]
 [ 0.03 -0.01]]",[0.74 0.49],"[[0.08 0.08]
 [0.05 0.06]]",[-1. -1.],[-0.98 -0.95],[-1. -1.],[ 0.67 -0.63],[0.32 0.28],"[[ 0.    0.04]
 [-0.04 -0.01]]","[[ 0.01 -0.03]
 [ 0.08  0.02]]","[[ 0.02  0.02]
 [-0.01  0.05]]","[[ 0.19 -0.19]
 [ 0.1  -0.11]]","[[-0.   -0.  ]
 [ 0.01  0.  ]]",[0.05 0.05],[0.05 0.  ],[-0.05 -0.05],[ 0.05 -0.05],[0.04 0.05],[0.04 0.05],0.43151116,LPE10885_2023_10_20_0_0051
Dataset 05,52,[-0.42 -0.64],"[[-0.05 -0.07]
 [ 0.    0.  ]]",[0.71 0.48],"[[0.07 0.04]
 [0.05 0.04]]",[-1. -1.],[-0.98 -0.95],[-1.   -0.95],[ 0.56 -0.57],[0.32 0.28],"[[ 0.03 -0.04]
 [-0.02 -0.02]]","[[-0.05 -0.05]
 [ 0.07  0.03]]","[[-0.03 -0.09]
 [ 0.03  0.06]]","[[-0.18 -0.14]
 [-0.06 -0.05]]","[[-0.01 -0.01]
 [-0.01 -0.01]]",[ 0.05 -0.05],[-0.    0.05],[ 0.01 -0.05],[-0.05  0.04],[ 0.05 -0.03],[0.04 0.04],0.49985358,LPE10885_2023_10_20_0_0052
Dataset 05,53,[-0.43 -0.66],"[[ 0.03  0.08]
 [-0.04 -0.04]]",[0.7  0.48],"[[0.04 0.1 ]
 [0.09 0.09]]",[-1. -1.],[-0.98 -0.96],[-1. -1.],[ 0.64 -0.62],[0.17 0.25],"[[ 0.01  0.05]
 [ 0.   -0.09]]","[[ 0.08  0.11]
 [-0.2  -0.18]]","[[ 0.07 -0.01]
 [ 0.06  0.08]]","[[-0.    0.26]
 [ 0.    0.  ]]","[[-0.01 -0.  ]
 [-0.04  0.01]]",[0.05 0.05],[0.05 0.03],[-0.05 -0.04],[-0.01  0.01],[-0.05  0.01],[0.05 0.03],0.31356773,LPE10885_2023_10_20_0_0053
Dataset 05,54,[-0.42 -0.64],"[[ 0.01 -0.  ]
 [ 0.   -0.03]]",[0.7  0.49],"[[0.03 0.04]
 [0.02 0.02]]",[-1. -1.],[-0.98 -0.96],[-1.   -0.96],[ 0.55 -0.56],[0.32 0.28],"[[-0.01  0.  ]
 [-0.04 -0.03]]","[[ 0.02 -0.08]
 [ 0.02 -0.04]]","[[ 0.05  0.03]
 [-0.   -0.07]]","[[-0.04  0.01]
 [ 0.01 -0.02]]","[[0.03 0.02]
 [0.02 0.  ]]",[-0.05 -0.01],[0.05 0.05],[-0.05  0.05],[-0.05  0.03],[-0.04  0.05],[0.04 0.02],0.32534218,LPE10885_2023_10_20_0_0054
Dataset 05,55,[-0.45 -0.66],"[[-0.    0.02]
 [-0.04  0.  ]]",[0.69 0.48],"[[0.06 0.04]
 [0.09 0.05]]",[-1. -1.],[-0.98 -0.96],[-1. -1.],[ 0.64 -0.61],[0.1  0.25],"[[-0.01  0.04]
 [ 0.01  0.04]]","[[ 0.   -0.02]
 [ 0.03  0.02]]","[[ 0.1   0.07]
 [-0.2  -0.08]]","[[-0.08 -0.03]
 [-0.05 -0.01]]","[[-0.01  0.03]
 [ 0.03  0.05]]",[-0.05 -0.05],[-0.01  0.05],[-0.05 -0.05],[-0.05 -0.05],[-0.03 -0.04],[0.02 0.04],0.50162005,LPE10885_2023_10_20_0_0055
Dataset 05,56,[-0.46 -0.64],"[[ 0.01 -0.03]
 [ 0.03 -0.01]]",[0.66 0.5 ],"[[0.06 0.03]
 [0.03 0.06]]",[-1. -1.],[-0.99 -0.97],[-1.   -0.98],[ 0.54 -0.55],[0.12 0.3 ],"[[-0.01 -0.04]
 [ 0.03  0.01]]","[[-0.02 -0.03]
 [ 0.01  0.03]]","[[ 0.13 -0.08]
 [ 0.08 -0.12]]","[[-0.06  0.01]
 [ 0.03 -0.03]]","[[ 0.   -0.04]
 [-0.02  0.04]]",[-0.05 -0.05],[0.05 0.05],[-0.05 -0.02],[-0.05 -0.05],[-0.    0.03],[0.04 0.04],0.04906161,LPE10885_2023_10_20_0_0056
Dataset 05,57,[-0.41 -0.65],"[[0.06 0.06]
 [0.01 0.01]]",[0.72 0.49],"[[0.08 0.09]
 [0.07 0.02]]",[-1. -1.],[-0.98 -0.95],[-1.   -0.99],[ 0.62 -0.6 ],[0.28 0.27],"[[ 0.02  0.  ]
 [ 0.02 -0.01]]","[[ 0.21  0.06]
 [-0.05  0.04]]","[[ 0.06  0.  ]
 [-0.06 -0.  ]]","[[-0.01  0.22]
 [ 0.13 -0.  ]]","[[-0.   -0.  ]
 [-0.01  0.01]]",[ 0.05 -0.04],[-0.05  0.05],[-0.05 -0.05],[0.04 0.05],[ 0.01 -0.05],[0.04 0.05],0.47835645,LPE10885_2023_10_20_0_0057
Dataset 05,58,[-0.42 -0.65],"[[-0.05  0.03]
 [-0.02 -0.04]]",[0.71 0.48],"[[0.05 0.1 ]
 [0.02 0.09]]",[-1. -1.],[-0.98 -0.95],[-1.   -0.97],[ 0.61 -0.59],[0.29 0.27],"[[-0.01 -0.01]
 [-0.01 -0.04]]","[[-0.1  -0.12]
 [-0.05  0.03]]","[[-0.03  0.07]
 [-0.02 -0.22]]","[[-0.11  0.19]
 [-0.01 -0.01]]","[[0.01 0.01]
 [0.02 0.01]]",[ 0.05 -0.01],[-0.05  0.04],[-0.02 -0.05],[0.03 0.05],[-0.03 -0.05],[0.04 0.05],0.33250937,LPE10885_2023_10_20_0_0058
Dataset 05,59,[-0.49 -0.66],"[[ 0.06 -0.  ]
 [ 0.02 -0.05]]",[0.66 0.49],"[[0.09 0.03]
 [0.07 0.06]]",[-1. -1.],[-0.99 -0.97],[-1.   -0.98],[ 0.6  -0.59],[-0.05  0.27],"[[-0.02 -0.03]
 [-0.04 -0.04]]","[[ 0.12  0.06]
 [-0.05 -0.13]]","[[-0.03 -0.02]
 [ 0.05  0.02]]","[[ 0.21 -0.02]
 [ 0.13 -0.1 ]]","[[ 0.01  0.  ]
 [-0.   -0.  ]]",[-0.05  0.03],[ 0.05 -0.05],[-0.05  0.05],[ 0.05 -0.05],[-0.05  0.01],[0.05 0.04],0.2407887,LPE10885_2023_10_20_0_0059
Dataset 05,60,[-0.45 -0.64],"[[-0.    0.  ]
 [ 0.01  0.04]]",[0.68 0.5 ],"[[0.05 0.07]
 [0.09 0.05]]",[-1. -1.],[-0.99 -0.97],[-1.   -0.98],[ 0.55 -0.56],[0.17 0.29],"[[ 0.01 -0.01]
 [ 0.01  0.05]]","[[-0.06 -0.1 ]
 [ 0.18  0.12]]","[[-0.06  0.09]
 [-0.06 -0.02]]","[[ 0.07  0.05]
 [-0.04  0.02]]","[[ 0.01 -0.01]
 [-0.03  0.02]]",[-0.05 -0.05],[ 0.05 -0.05],[ 0.05 -0.05],[-0.05  0.05],[-0.03 -0.05],[0.05 0.04],0.21792673,LPE10885_2023_10_20_0_0060
Dataset 05,61,[-0.47 -0.64],"[[-0.02 -0.05]
 [ 0.01 -0.  ]]",[0.66 0.5 ],"[[0.05 0.04]
 [0.03 0.04]]",[-1. -1.],[-0.99 -0.97],[-1.   -0.99],[ 0.54 -0.55],[0.1  0.31],"[[ 0.04 -0.03]
 [-0.04 -0.02]]","[[-0.1  -0.07]
 [ 0.02  0.03]]","[[-0.01 -0.13]
 [-0.01  0.03]]","[[-0.04 -0.02]
 [ 0.05 -0.07]]","[[ 0.02 -0.01]
 [ 0.02  0.01]]",[-0.05 -0.05],[ 0.05 -0.03],[ 0.05 -0.05],[-0.05  0.05],[ 0.05 -0.05],[0.05 0.04],0.545769,LPE10885_2023_10_20_0_0061
Dataset 05,62,[-0.42 -0.64],"[[ 0.03  0.05]
 [-0.01 -0.04]]",[0.7  0.49],"[[0.07 0.08]
 [0.04 0.04]]",[-1. -1.],[-0.98 -0.96],[-1.   -0.96],[ 0.54 -0.56],[0.32 0.28],"[[ 0.   -0.02]
 [ 0.02 -0.  ]]","[[ 0.02  0.2 ]
 [-0.07 -0.12]]","[[ 0.17 -0.  ]
 [-0.04 -0.03]]","[[-0.05  0.05]
 [ 0.03 -0.03]]","[[0.01 0.01]
 [0.01 0.  ]]",[ 0.05 -0.03],[-0.    0.05],[ 0.05 -0.05],[-0.01  0.05],[-0.05 -0.05],[0.04 0.05],0.42973712,LPE10885_2023_10_20_0_0062
Dataset 05,63,[-0.41 -0.64],"[[-0.   -0.06]
 [ 0.    0.01]]",[0.72 0.48],"[[0.07 0.04]
 [0.05 0.06]]",[-1. -1.],[-0.97 -0.95],[-1.   -0.97],[ 0.6  -0.59],[0.32 0.28],"[[-0.05 -0.  ]
 [-0.02 -0.  ]]","[[-0.11 -0.09]
 [ 0.07  0.09]]","[[ 0.08 -0.12]
 [-0.08  0.03]]","[[ 0.07 -0.08]
 [ 0.02 -0.09]]","[[-0.   -0.04]
 [ 0.03  0.02]]",[-0.05  0.05],[ 0.05 -0.04],[ 0.04 -0.05],[ 0.05 -0.05],[-0.05 -0.  ],[0.05 0.04],0.3821401,LPE10885_2023_10_20_0_0063
Dataset 05,64,[-0.4  -0.65],"[[-0.07 -0.25]
 [ 0.01  0.01]]",[0.72 0.49],"[[0.07 0.55]
 [0.08 0.09]]",[-1. -1.],[-0.97 -0.94],[-1. -1.],[ 0.63 -0.61],[0.32 0.28],"[[ 0.03 -1.35]
 [ 0.12 -0.08]]","[[-0.07  0.03]
 [-0.05  0.05]]","[[-0.14  0.12]
 [ 0.06  0.13]]","[[-0.14 -0.09]
 [-0.09 -0.12]]","[[-0.03  0.04]
 [-0.01  0.05]]",[ 0.05 -0.03],[ 0.05 -0.05],[0.05 0.05],[ 0.05 -0.05],[-0.02  0.05],[0.03 0.05],0.18637992,LPE10885_2023_10_20_0_0064
Dataset 05,65,[-0.41 -0.64],"[[-0. -0.]
 [-0. -0.]]",[0.71 0.48],"[[0.02 0.02]
 [0.01 0.02]]",[-1. -1.],[-0.97 -0.94],[-1.   -0.94],[ 0.58 -0.58],[0.32 0.28],"[[-0.   -0.  ]
 [ 0.    0.01]]","[[ 0.02  0.01]
 [-0.   -0.01]]","[[ 0.01 -0.04]
 [-0.02 -0.01]]","[[-0.02  0.  ]
 [ 0.02  0.02]]","[[-0.01  0.02]
 [-0.02 -0.03]]",[0.05 0.05],[0.05 0.05],[0.05 0.01],[-0.05  0.05],[-0.02  0.04],[0.04 0.02],0.31344977,LPE10885_2023_10_20_0_0065
Dataset 05,66,[-0.41 -0.64],"[[ 0.02  0.04]
 [ 0.06 -0.02]]",[0.71 0.48],"[[0.05 0.06]
 [0.12 0.04]]",[-1. -1.],[-0.97 -0.94],[-1.   -0.93],[ 0.58 -0.58],[0.32 0.28],"[[ 0.01 -0.02]
 [ 0.03 -0.  ]]","[[-0.03  0.14]
 [-0.03 -0.02]]","[[ 0.1   0.06]
 [ 0.28 -0.08]]","[[ 0.01  0.02]
 [-0.02 -0.02]]","[[ 0.   -0.  ]
 [ 0.03  0.03]]",[0.05 0.05],[-0.02 -0.05],[-0.05 -0.05],[-0.05 -0.05],[0.05 0.05],[0.05 0.05],0.39454755,LPE10885_2023_10_20_0_0066
Dataset 05,67,[-0.42 -0.64],"[[ 0.    0.01]
 [-0.04 -0.  ]]",[0.71 0.49],"[[0.02 0.09]
 [0.05 0.04]]",[-1. -1.],[-0.98 -0.95],[-1.   -0.96],[ 0.58 -0.58],[0.32 0.28],"[[-0.01  0.02]
 [-0.02  0.03]]","[[ 0.04  0.11]
 [ 0.01 -0.05]]","[[-0.    0.09]
 [-0.12  0.05]]","[[-0.01 -0.15]
 [-0.08 -0.04]]","[[ 0.   -0.01]
 [-0.01 -0.02]]",[-0.02 -0.04],[ 0.05 -0.05],[-0.05 -0.  ],[0.05 0.  ],[-0.05  0.04],[0.05 0.03],0.41513696,LPE10885_2023_10_20_0_0067
Dataset 05,68,[-0.45 -0.66],"[[-0.03  0.07]
 [-0.04  0.01]]",[0.69 0.48],"[[0.05 0.06]
 [0.04 0.02]]",[-1. -1.],[-0.98 -0.96],[-1. -1.],[ 0.64 -0.61],[0.07 0.26],"[[ 0.03  0.03]
 [-0.04 -0.01]]","[[-0.09  0.06]
 [-0.12  0.  ]]","[[-0.08  0.08]
 [-0.04 -0.  ]]","[[-0.03  0.18]
 [ 0.02  0.04]]","[[ 0.01  0.  ]
 [-0.01  0.02]]",[-0.05  0.05],[ 0.05 -0.05],[ 0.05 -0.03],[-0.05 -0.05],[-0.05 -0.05],[0.05 0.04],0.3651479,LPE10885_2023_10_20_0_0068
Dataset 05,69,[-0.42 -0.64],"[[ 0.07 -0.03]
 [ 0.03 -0.01]]",[0.71 0.49],"[[0.08 0.08]
 [0.04 0.09]]",[-1. -1.],[-0.98 -0.95],[-1.   -0.96],[ 0.57 -0.57],[0.32 0.28],"[[-0.02 -0.03]
 [ 0.04  0.07]]","[[0.1  0.09]
 [0.1  0.1 ]]","[[ 0.19 -0.01]
 [ 0.04 -0.16]]","[[ 0.11 -0.17]
 [-0.02 -0.03]]","[[-0.01 -0.02]
 [ 0.   -0.01]]",[0.05 0.02],[ 0.05 -0.05],[-0.03 -0.02],[ 0.03 -0.05],[ 0.04 -0.05],[0.03 0.03],0.22473523,LPE10885_2023_10_20_0_0069
Dataset 05,70,[-0.41 -0.65],"[[-0.02 -0.07]
 [ 0.03 -0.04]]",[0.72 0.49],"[[0.05 0.07]
 [0.05 0.06]]",[-1. -1.],[-0.97 -0.95],[-1.   -0.98],[ 0.61 -0.59],[0.31 0.28],"[[ 0.01 -0.01]
 [ 0.01 -0.03]]","[[-0.01 -0.06]
 [-0.04 -0.13]]","[[-0.   -0.08]
 [ 0.1   0.01]]","[[-0.11 -0.2 ]
 [ 0.06 -0.09]]","[[0.01 0.01]
 [0.01 0.02]]",[ 0.05 -0.05],[ 0.02 -0.05],[-0.05 -0.05],[-0.02  0.01],[-0.05 -0.05],[0.04 0.03],0.55314577,LPE10885_2023_10_20_0_0070
Dataset 05,71,[-0.42 -0.64],"[[ 0.03 -0.02]
 [-0.01  0.06]]",[0.71 0.48],"[[0.08 0.03]
 [0.07 0.12]]",[-1. -1.],[-0.98 -0.95],[-1.   -0.94],[ 0.57 -0.57],[0.32 0.28],"[[-0.01  0.02]
 [ 0.08  0.02]]","[[-0.07 -0.06]
 [-0.13 -0.02]]","[[ 0.16 -0.  ]
 [ 0.02  0.29]]","[[ 0.05 -0.05]
 [ 0.01  0.04]]","[[ 0.01  0.  ]
 [-0.01 -0.02]]",[0.04 0.05],[-0.03  0.01],[-0.05 -0.05],[-0.05  0.05],[-0.05 -0.04],[0.03 0.04],0.46869636,LPE10885_2023_10_20_0_0071
Dataset 05,72,[-0.48 -0.66],"[[ 0.03  0.04]
 [ 0.03 -0.02]]",[0.66 0.48],"[[0.05 0.11]
 [0.03 0.05]]",[-1. -1.],[-0.99 -0.97],[-1.   -0.98],[ 0.6  -0.59],[-0.02  0.26],"[[-0.02 -0.01]
 [ 0.04 -0.06]]","[[0.   0.05]
 [0.08 0.06]]","[[ 0.12  0.24]
 [ 0.   -0.09]]","[[ 0.03 -0.08]
 [ 0.01  0.  ]]","[[ 0.01 -0.01]
 [ 0.03  0.01]]",[ 0.01 -0.05],[-0.05 -0.05],[-0.04 -0.05],[-0.05 -0.05],[-0.05 -0.05],[0.03 0.  ],0.2619003,LPE10885_2023_10_20_0_0072
Dataset 05,73,[-0.4  -0.66],"[[ 0.11  0.07]
 [-0.04  0.03]]",[0.73 0.49],"[[0.11 0.06]
 [0.08 0.09]]",[-1. -1.],[-0.98 -0.95],[-1. -1.],[ 0.64 -0.61],[0.31 0.28],"[[-0.02  0.04]
 [-0.03  0.04]]","[[ 0.23  0.08]
 [-0.19 -0.02]]","[[ 0.16  0.06]
 [ 0.01 -0.09]]","[[0.2  0.18]
 [0.03 0.18]]","[[-0.01  0.02]
 [-0.03  0.01]]",[0.05 0.05],[-0.05 -0.05],[ 0.05 -0.05],[ 0.05 -0.05],[-0.05  0.02],[0.05 0.04],0.7149871,LPE10885_2023_10_20_0_0073
Dataset 05,74,[-0.4  -0.66],"[[-0.04  0.06]
 [-0.01  0.01]]",[0.73 0.49],"[[0.06 0.11]
 [0.03 0.06]]",[-1. -1.],[-0.98 -0.95],[-1. -1.],[ 0.65 -0.62],[0.3  0.27],"[[-0.   -0.02]
 [ 0.02 -0.04]]","[[-0.06  0.02]
 [ 0.03 -0.03]]","[[-0.14  0.03]
 [-0.06 -0.05]]","[[-0.    0.28]
 [-0.01  0.13]]","[[ 0.01 -0.01]
 [-0.02  0.02]]",[0.05 0.05],[-0.05 -0.03],[-0.05 -0.05],[0.05 0.02],[-0.03  0.  ],[0.05 0.04],0.3803221,LPE10885_2023_10_20_0_0074
Dataset 05,75,[-0.49 -0.66],"[[ 0.04  0.03]
 [ 0.03 -0.05]]",[0.66 0.49],"[[0.08 0.06]
 [0.05 0.06]]",[-1. -1.],[-0.99 -0.97],[-1.   -0.99],[ 0.62 -0.6 ],[-0.08  0.27],"[[ 0.01  0.02]
 [ 0.01 -0.01]]","[[ 0.14 -0.08]
 [-0.05 -0.02]]","[[-0.09  0.12]
 [ 0.09 -0.13]]","[[ 0.13  0.05]
 [ 0.07 -0.12]]","[[0.02 0.02]
 [0.01 0.  ]]",[0.03 0.05],[0.05 0.05],[-0.05 -0.05],[-0.04 -0.05],[ 0.05 -0.02],[0.04 0.05],0.4110966,LPE10885_2023_10_20_0_0075
Dataset 05,76,[-0.41 -0.65],"[[-0.03 -0.03]
 [ 0.06  0.03]]",[0.72 0.49],"[[0.04 0.03]
 [0.05 0.04]]",[-1. -1.],[-0.97 -0.94],[-1.   -0.99],[ 0.62 -0.6 ],[0.32 0.28],"[[-0.02 -0.  ]
 [-0.01  0.02]]","[[-0.1  -0.03]
 [ 0.1  -0.03]]","[[ 0.03 -0.09]
 [ 0.1   0.08]]","[[-0.06 -0.03]
 [ 0.1   0.09]]","[[-0.01 -0.02]
 [ 0.   -0.  ]]",[ 0.05 -0.05],[-0.04 -0.05],[ 0.01 -0.05],[-0.   -0.04],[-0.04 -0.05],[0.03 0.  ],0.4463704,LPE10885_2023_10_20_0_0076
Dataset 05,77,[-0.41 -0.65],"[[-0.17 -0.06]
 [ 0.03 -0.04]]",[0.72 0.49],"[[0.52 0.16]
 [0.06 0.04]]",[-1. -1.],[-0.97 -0.95],[-1.   -0.99],[ 0.63 -0.6 ],[0.31 0.28],"[[-1.17 -0.38]
 [-0.05 -0.08]]","[[-0.09  0.05]
 [ 0.12 -0.07]]","[[ 0.08 -0.04]
 [ 0.03  0.03]]","[[ 0.32  0.05]
 [ 0.05 -0.05]]","[[ 0.02  0.  ]
 [-0.01 -0.05]]",[0.05 0.01],[0.05 0.05],[-0.05 -0.02],[0.01 0.03],[-0.05  0.05],[0.05 0.03],0.17096168,LPE10885_2023_10_20_0_0078
